PERSON_ID,DESCRIPTION,SEASON
893,NBA Champion,1996
893,NBA Champion,1997
760,NBA Champion,1998
165,All-Defensive Team2,1984
165,All-Defensive Team1,1986
165,All-Defensive Team1,1987
165,All-Defensive Team1,1989
165,All-Defensive Team2,1990
165,All-Defensive Team1,1992
165,All-Defensive Team1,1993
165,All-Defensive Team2,1995
165,All-Defensive Team2,1996
165,All-NBA2,1985
165,All-NBA1,1986
165,All-NBA1,1987
165,All-NBA1,1988
165,All-NBA2,1989
165,All-NBA3,1990
165,All-NBA1,1992
165,All-NBA1,1993
165,All-NBA3,1994
165,All-NBA2,1995
165,All-NBA1,1996
165,All-NBA3,1998
165,All-Rookie Team1,1984
165,Hall of Fame Inductee,2008
165,IBM Award,1992
165,NBA Defensive Player of the Year,1992
165,NBA Defensive Player of the Year,1993
165,NBA Finals Most Valuable Player,1993
165,NBA Finals Most Valuable Player,1994
165,NBA Most Valuable Player,1993
165,NBA Sporting News Most Valuable Player of the Year,1993
165,Olympic Gold Medal,1996
165,NBA All-Star,1984
165,NBA All-Star,1985
165,NBA All-Star,1986
165,NBA All-Star,1987
165,NBA All-Star,1988
165,NBA All-Star,1989
165,NBA All-Star,1991
165,NBA All-Star,1992
165,NBA All-Star,1993
165,NBA All-Star,1994
165,NBA All-Star,1995
165,NBA All-Star,1996
165,NBA Champion,1993
165,NBA Champion,1994
64,All-Rookie Team1,1984
64,Olympic Gold Medal,1984
926,All-Defensive Team2,1985
926,All-Defensive Team1,1986
926,All-Defensive Team2,1987
926,All-Defensive Team2,1988
926,All-Defensive Team2,1989
926,All-Defensive Team1,1990
926,All-NBA2,1985
926,NBA Defensive Player of the Year,1985
926,NBA Most Improved Player,1985
926,Olympic Gold Medal,1984
926,NBA All-Star,1990
926,NBA All-Star,1985
926,NBA All-Star,1986
926,NBA All-Star,1987
304,All-Defensive Team2,1988
304,All-Defensive Team2,1990
304,All-Defensive Team2,1991
304,All-Defensive Team2,1994
304,All-Defensive Team2,1996
304,All-NBA2,1987
304,All-NBA2,1988
304,All-NBA2,1989
304,All-NBA3,1990
304,All-NBA2,1991
304,All-NBA2,1992
304,All-NBA1,1993
304,All-NBA1,1994
304,All-NBA2,1995
304,All-NBA3,1996
304,All-NBA3,1998
304,Hall of Fame Inductee,2009
304,NBA All-Star Most Valuable Player,1992
304,Olympic Gold Medal,1992
304,Olympic Gold Medal,1996
304,NBA All-Star,1988
304,NBA All-Star,1989
304,NBA All-Star,1990
304,NBA All-Star,1991
304,NBA All-Star,1992
304,NBA All-Star,1993
304,NBA All-Star,1994
304,NBA All-Star,1995
304,NBA All-Star,1996
304,NBA All-Star,1999
901,NBA All-Star,1991
901,NBA Champion,1993
78381,Olympic Gold Medal,1984
788,All-NBA3,1991
788,NBA All-Star,1991
788,NBA Champion,2002
78611,Olympic Gold Medal,1984
149,NBA All-Star,1991
76172,Olympic Appearance,1992
76195,All-Defensive Team2,1985
247,All-Defensive Team1,1988
247,All-Defensive Team1,1989
247,All-Defensive Team2,1990
247,All-Defensive Team1,1991
247,All-Defensive Team1,1992
247,All-NBA3,1989
247,All-NBA3,1990
247,All-NBA2,1992
247,All-Rookie Team1,1985
247,Hall of Fame Inductee,2006
247,J. Walter Kennedy Citizenship,1993
247,NBA Finals Most Valuable Player,1988
247,NBA Sportsmanship,1995
247,NBA All-Star,1989
247,NBA All-Star,1990
247,NBA All-Star,1991
247,NBA All-Star,1992
247,NBA All-Star,1994
247,NBA All-Star,1996
247,NBA Champion,1988
247,NBA Champion,1989
920,All-Defensive Team2,1988
920,NBA All-Star,1989
920,NBA Champion,1986
920,NBA Champion,1987
920,NBA Champion,1999
170,Olympic Gold Medal,1984
402,Olympic Gold Medal,1984
252,All-Defensive Team2,1987
252,All-Defensive Team1,1996
252,All-Defensive Team1,1997
252,All-Defensive Team1,1998
252,All-NBA2,1987
252,All-NBA1,1988
252,All-NBA1,1989
252,All-NBA1,1990
252,All-NBA1,1991
252,All-NBA1,1992
252,All-NBA1,1993
252,All-NBA1,1994
252,All-NBA1,1995
252,All-NBA1,1996
252,All-NBA1,1997
252,All-NBA1,1998
252,All-NBA2,1999
252,All-NBA3,2000
252,All-Rookie Team1,1985
252,Hall of Fame Inductee,2010
252,IBM Award,1997
252,NBA All-Star Most Valuable Player,1988
252,NBA All-Star Most Valuable Player,1992
252,NBA Most Valuable Player,1996
252,NBA Most Valuable Player,1998
252,NBA Sporting News Most Valuable Player of the Year,1998
252,Olympic Gold Medal,1992
252,Olympic Gold Medal,1996
252,NBA All-Star,1987
252,NBA All-Star,1988
252,NBA All-Star,1990
252,NBA All-Star,1991
252,NBA All-Star,1992
252,NBA All-Star,1993
252,NBA All-Star,1994
252,NBA All-Star,1995
252,NBA All-Star,1996
252,NBA All-Star,1997
252,NBA All-Star,1999
252,NBA All-Star,2000
252,NBA All-Star,1989
252,NBA All-Star,2001
1365,All-Rookie Team1,1985
1365,NBA All-Star,1987
904,All-NBA2,1988
904,All-NBA3,1989
904,All-NBA2,1990
904,All-NBA1,1991
904,Hall of Fame Inductee,2011
904,Olympic Gold Medal,1984
904,Olympic Gold Medal,1992
904,NBA All-Star,1988
904,NBA All-Star,1989
904,NBA All-Star,1990
904,NBA All-Star,1991
904,NBA All-Star,1992
891,All-Defensive Team1,1993
891,All-Defensive Team2,1997
891,All-Rookie Team1,1985
891,NBA All-Star,1993
345,J. Walter Kennedy Citizenship,1992
345,NBA All-Star,1990
345,NBA All-Star,1992
96,All-NBA3,1994
96,NBA Sixth Man of the Year,1990
96,NBA Sixth Man of the Year,1991
96,Olympic Appearance,1992
96,NBA All-Star,1992
96,NBA All-Star,1994
96,NBA All-Star,1996
1091,NBA Champion,1986
1091,NBA Champion,1987
47,Olympic Gold Medal,1984
78417,NBA Champion,1985
82,NBA Champion,1995
82,NBA Champion,1997
76138,NBA Champion,1989
76237,NBA Champion,1986
209,NBA Sixth Man of the Year,1993
921,All-NBA3,1991
921,All-Rookie Team1,1986
921,NBA All-Star,1987
921,NBA All-Star,1988
921,NBA All-Star,1990
921,NBA All-Star,1991
921,NBA All-Star,1992
404,NBA Most Improved Player,1987
404,NBA All-Star,1988
404,NBA All-Star,1990
166,All-Rookie Team1,1986
166,NBA Champion,1995
166,NBA Champion,1996
166,NBA Champion,1997
166,NBA Champion,1999
166,NBA Champion,2000
204,NBA All-Star,1991
203,All-Defensive Team2,1993
203,All-Defensive Team2,1994
456,All-Rookie Team1,1986
456,NBA Rookie of the Year,1986
456,NBA Sporting News Rookie of the Year,1986
899,All-NBA3,1988
899,All-NBA3,1991
899,All-NBA1,1992
899,All-NBA3,1993
899,NBA All-Star,1988
899,NBA All-Star,1991
899,NBA All-Star,1992
899,NBA All-Star,1993
23,All-Defensive Team1,1988
23,All-Defensive Team1,1989
23,All-Defensive Team1,1990
23,All-Defensive Team1,1991
23,All-Defensive Team1,1992
23,All-Defensive Team2,1993
23,All-Defensive Team1,1994
23,All-Defensive Team1,1995
23,All-NBA3,1991
23,All-NBA3,1994
23,Hall of Fame Inductee,2011
23,IBM Award,1991
23,NBA Defensive Player of the Year,1989
23,NBA Defensive Player of the Year,1990
23,NBA All-Star,1989
23,NBA All-Star,1991
23,NBA Champion,1995
23,NBA Champion,1996
23,NBA Champion,1997
23,NBA Champion,1988
23,NBA Champion,1989
78007,Olympic Appearance,2000
927,NBA Champion,1995
927,NBA Champion,1988
927,NBA Champion,1989
927,NBA Champion,1999
101,NBA Most Improved Player,1990
78293,All-Rookie Team1,1986
78293,NBA Sixth Man of the Year,1987
1631,NBA Champion,1986
78554,All-Rookie Team1,1986
