"X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","MPG","MPS","Height","Weight","AWD","Pos"
-14.0375427510648,-5.78123873085576,-67.9469415542484,-22.8902594561969,-9.34214624687373,-8.50317331919673,-22.7497310225341,-4.20144692485552,-1.86143939499061,-10.1815862288043,-11.8938620687078,-4.11782777472608,-2.40190973573542,3.73896852610705,8.90554212667042,-0.0304791623469842,-0.141717139956278,"0","PG"
-12.2164281848253,-4.33140240419517,-70.4952258846822,-27.649326277629,-8.92839202569838,-7.89397616726636,-18.1916129129865,-2.841582869751,-3.68386691820573,-10.4732679707961,-8.46057768404745,-4.82851868927073,-2.40293307234727,3.05879649883499,5.57533884749332,0.0458938164375899,0.000330517699737022,"0","PF"
-14.5988589151478,-6.22943763258843,-68.5538329835894,-24.1127153935697,-10.3587714400119,-9.21196706773746,-21.914574903386,-4.00898626936861,-1.95344031032653,-9.37738205572672,-8.89900894664527,-4.26407997196509,-2.00780151959094,3.73826516315571,9.09250710971446,-0.0304791623469842,-0.0657312329783557,"0","PG"
-14.043695079023,-5.9652886967367,-63.1796510637213,-18.3287340650178,-10.1034515421754,-8.79107182138731,-19.9405838051182,-2.98392838002954,-2.90416508576381,-11.1594425202523,-9.68204833432547,-3.78500387757046,-3.03769647842989,2.412968722421,5.19014668888753,-0.0611020225609671,0.112516998427963,"0","PF"
-11.7845708828531,-4.04812942537367,-65.5024594204831,-21.7107114436114,-6.67528644702439,-5.57020840457836,-19.3789203338519,-2.98425697666112,-2.4622641785888,-10.051042742021,-7.25410391411818,-3.32600034603026,-1.93956897891232,4.59496514061507,7.78512198370966,0.0748813533108422,0.246048391052486,"1","C"
-12.9931494409821,-4.59435206112212,-68.0494594428494,-23.9504515129519,-8.69037143437563,-7.6140662777551,-22.6612214736135,-4.08133886679773,-1.87829993069944,-9.63297746601345,-9.22957314205991,-4.03292238122716,-2.29227572878991,2.67620372007719,6.504236858182,-0.0960764448327974,-0.218257217078612,"0","PG"
-14.5003738719745,-6.21021169688659,-64.641847676197,-21.0700955447493,-9.31100920378824,-8.51402679432183,-22.0351837622549,-4.40924568709661,-1.93717647427992,-10.0551817436193,-10.2593692802144,-4.4151640019797,-2.58222386046113,4.65822293143727,7.81736675980716,-0.0792693265164162,-0.206957661824679,"0","PG"
-15.5657658631417,-7.47679262925217,-66.6170072993668,-21.9878006461419,-10.3219856995828,-9.43406961302255,-21.0359656867321,-4.07340828131148,-3.18416259065277,-10.1729695781352,-9.52548780117138,-5.21018527808503,-2.56738838866307,4.08694702511678,9.74113408477826,0.0310787306524492,0.00488633423559784,"0","PF"
-14.6886535174621,-6.40900508010373,-64.1545269860573,-19.8751647149301,-10.6819467550967,-9.94856516694115,-22.6425641727745,-4.3979613353135,-2.47443535547753,-11.874854740021,-11.0997806487554,-4.77903443190517,-2.60796674816592,2.45577096554571,6.05702282908859,-0.0464795036934253,-0.0657312329783557,"0","SG"
-14.1614991632376,-5.80907215399641,-63.6620934631233,-19.6083744553742,-8.65567467576115,-7.60931923859161,-22.8721125582358,-4.15197757555985,-2.14658084987604,-9.93823905550147,-10.8852254015056,-3.87344259472039,-2.35137526265339,3.31317620101326,5.77003298949568,-0.0464795036934253,-0.168385387038439,"0","PG"
-15.0306964075946,-6.74116577125094,-65.0031251008576,-23.0359572495603,-9.40622189729277,-8.32658904197406,-21.150754650594,-4.15197757555985,-3.29583687184739,-10.0022822796562,-9.95722564143388,-5.50213369164753,-2.297308041351,2.28144812626963,5.50953689526439,0.000773381157120351,0.000330517699737022,"0","SG"
-14.4367434318267,-5.99681171528623,-66.421022140027,-23.6484773766498,-9.3315958575558,-7.62395475502633,-20.168258747317,-3.36251989357372,-3.48431229425433,-11.2795360577986,-7.45165200471972,-4.26461144769895,-2.00270775269727,2.36112331401828,5.32450531034489,0.0748813533108422,0.171940418898764,"0","C"
-15.2598005731865,-6.72190401362023,-67.086613199313,-22.3151891784571,-8.55534412360166,-7.57532958177635,-22.1011440515306,-4.39575751321433,-2.00243025327339,-9.99292237424168,-9.63980416893208,-4.42552041789794,-2.0227355194506,4.10801396311857,9.39389727243859,0.0160408532879086,-0.0274490464073385,"0","PG"
-12.2603825515562,-4.71425820165401,-70.8627241059252,-26.6132268035527,-9.15035903613574,-8.14230592116219,-17.9667880800344,-2.86986854704707,-2.61370176361682,-10.194204120658,-8.89120294846333,-4.12724576674085,-2.1711329050578,3.88418538477794,9.07291279772503,-0.0611020225609671,0.132719705745483,"0","C"
-14.0082821870385,-5.82300281540708,-67.6271189547318,-23.1104664743446,-9.39186491054306,-8.15631825636144,-21.412423534244,-3.94337304835308,-2.61349822245209,-10.6082013528727,-9.49829697135452,-4.56523738637558,-2.66258783266991,4.91939343811093,10.9763077053436,0.0458938164375899,-0.141717139956278,"0","SF"
