"","Id","Player","Height","Weight","S","Pos","Tm","G","MP","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Year","Age","PER","ORB.","DRB.","TRB.","AST.","STL.","BLK.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","PTS","TRB","FT.","TS.","X3PAr","FTr","FG.","eFG.","X2P.","X3P.","TOV.","AWD","Pos.simple"
"40","1627851","MINDAUGAS KUZMINSKAS",210.312,96.75,1,"SF","NYK",68,1016,104,201,54,168,55,68,47,79,69,29,11,51,79,2017,27,12.4,5,8.4,6.7,10.3,1.4,0.9,19.2,0.8,0.4,1.2,0.055,-0.2,-2.5,-2.7,-0.2,158,369,425,126,0.808823529411765,0.532688258297403,0.455284552845528,0.184281842818428,0.428184281842818,0.501355013550135,0.517412935323383,0.321428571428571,0.113353485064011,"0","SF"
"41","1627746","SKAL LABISSIERE",185.928,105.75,1,"PF","SAC",33,612,114,210,3,8,52,74,51,111,27,16,13,37,64,2017,20,16.8,9.7,20.7,15.3,7.5,1.3,1.9,21.3,0.7,0.5,1.3,0.099,-1.7,-0.9,-2.6,-0.1,117,218,289,162,0.702702702702703,0.576708173690932,0.036697247706422,0.339449541284404,0.536697247706422,0.543577981651376,0.542857142857143,0.375,0.128668799554876,"0","PF"
"42","1627879","NICOLAS LAPROVITTOLA",195.072,81,1,"PG","SAS",18,174,10,20,10,27,9,9,1,9,28,4,1,19,19,2017,27,8.4,0.7,5.7,3.3,23,1.2,0.5,18.2,0,0.2,0.2,0.044,-2.5,-2.4,-4.9,-0.1,20,47,59,10,1,0.578885400313972,0.574468085106383,0.191489361702128,0.425531914893617,0.531914893617021,0.5,0.37037037037037,0.2715837621498,"0","PG"
"43","1627774","JAKE LAYMAN",207.264,94.05,1,"SF","POR",35,249,13,38,13,51,13,17,6,18,11,9,3,11,22,2017,22,4.9,2.7,8,5.3,6.2,1.8,1,19,-0.4,0.1,-0.3,-0.054,-4.7,-2.7,-7.4,-0.3,26,89,78,24,0.764705882352941,0.404228855721393,0.573033707865168,0.191011235955056,0.292134831460674,0.365168539325843,0.342105263157895,0.254901960784314,0.102344622255303,"0","SF"
"44","1627747","CARIS LEVERT",201.168,92.25,1,"SF","BRK",57,1237,112,196,59,184,67,93,23,165,110,49,8,59,91,2017,22,12.2,2,13.9,8,13.7,1.9,0.5,16.6,0.8,1,1.8,0.07,-0.7,-0.4,-1.1,0.3,171,380,468,188,0.720430107526882,0.55592511641167,0.484210526315789,0.244736842105263,0.45,0.527631578947368,0.571428571428571,0.320652173913043,0.122937156192699,"0","SF"
"45","1627848","SHAWN LONG",210.312,114.75,1,"C","PHI",18,234,54,90,7,19,19,35,41,44,13,9,9,13,49,2017,24,24.1,19.3,20.8,20,10.7,1.9,3.1,25.4,0.6,0.3,0.9,0.195,3.4,0,3.4,0.3,61,109,148,85,0.542857142857143,0.594855305466238,0.174311926605505,0.321100917431193,0.559633027522936,0.591743119266055,0.6,0.368421052631579,0.0946142649199418,"0","C"
"46","1627789","TIMOTHE LUWAWUCABARROT",204.216,96.75,1,"SF","PHI",69,1190,95,200,50,161,105,123,25,124,75,32,10,73,154,2017,21,8.5,2.3,11.5,6.9,9.6,1.3,0.7,17.8,0,0.8,0.8,0.034,-2.8,-1.2,-4,-0.6,145,361,445,149,0.853658536585366,0.535989593370592,0.445983379501385,0.340720221606648,0.401662049861496,0.470914127423823,0.475,0.31055900621118,0.149553388511022,"0","SF"
"47","1627748","THON MAKER",213.36,99.45,1,"C","MIL",57,562,55,107,28,74,32,49,40,74,23,10,26,17,84,2017,19,14,8.4,15.2,11.8,6.2,0.9,4.1,17.8,0.8,0.5,1.3,0.113,-0.5,-1,-1.5,0.1,83,181,226,114,0.653061224489796,0.557859399684044,0.408839779005525,0.270718232044199,0.458563535911602,0.535911602209945,0.514018691588785,0.378378378378378,0.0774275824376025,"0","C"
"48","1627775","PATRICK MCCAW",204.216,81.45,1,"SG","GSW",71,1074,65,122,41,123,29,37,22,79,77,32,15,36,62,2017,21,8.6,2.4,7.6,5.2,9,1.4,1.1,11.9,0.6,1.2,1.7,0.077,-1.6,-0.1,-1.7,0.1,106,245,282,101,0.783783783783784,0.539650949173301,0.502040816326531,0.151020408163265,0.43265306122449,0.516326530612245,0.532786885245902,0.333333333333333,0.121097954790097,"0","SG"
"49","203585","RODNEY MCGRUDER",195.072,92.25,1,"SG","MIA",78,1966,117,240,73,220,44,71,95,162,124,45,18,56,140,2017,25,9.1,5.3,9.2,7.2,8.8,1.2,0.7,12.3,1.2,1.7,2.9,0.072,-0.8,0.5,-0.4,0.8,190,460,497,257,0.619718309859155,0.505862714762641,0.478260869565217,0.154347826086957,0.41304347826087,0.492391304347826,0.4875,0.331818181818182,0.102331700899057,"0","SG"
